WikidataIds,Wrid,RE-WikiRE-Relation,Nrid,RE-NYT-Relation,Wgrid,RE-WebNLG-Relation,Frid,RE-FewRel-Relation,Srid,RE-SemEval-Relation,Grid,RE-Google-Relation,freebase,owl:equivalentProperty
P569,5000,date of birth,4000,,3000,birthDate,2000,,1000,,1,date_of_birth,/people/person/date_of_birth,
P19,5001,place of birth,4001,place_of_birth,3001,birthPlace,2001,,1001,,2,place_of_birth,/people/person/place_of_birth,placeOfBirth
P20,5002,place of death,4002,place_of_death,3002,deathPlace,2002,,1002,,3,place_of_death,/people/deceased_person/place_of_death,placeOfDeath
,5003,,4003,,3003,almaMater,2003,,1003,,4,degree,/people/person/education./education/education/degree,
,5004,,4004,neighborhood_of,3004,,2004,,1004,,5,,/location/neighborhood/neighborhood_of,
,5005,,4005,contains,3005,,2005,,1005,,6,,/location/location/contains,
,5006,,4006,place_lived,3006,,2006,,1006,,7,,/people/person/place_lived,
P27,5007,country of citizenship,4007,nationality,3007,nationality,2007,country of citizenship,1007,,8,,/people/person/nationality,
P36,5008,capital,4008,capital,3008,capital,2008,,1008,,9,,/location/country/capital,
,5009,,4009,administrative_divisions,3009,,2009,,1009,,10,,/location/country/administrative_divisions,
P17,5010,country,4010,country,3010,country,2010,country,1010,,11,,/location/administrative_division/country,
,5011,,4011,company,3011,,2011,,1011,,12,,/business/person/company,
P276,5012,location,4012,location,3012,location,2012,location,1012,,13,,/sports/sports_team/location,
,5013,,4013,teams,3013,,2013,,1013,,14,,/sports/sports_team_location/teams,
,5014,,4014,place_founded,3014,foundationPlace,2014,,1014,,15,,/business/company/place_founded,
,5015,,4015,children,3015,,2015,,1015,,16,,/people/person/children,
P112,5016,founder,4016,founders,3016,founder,2016,,1016,,17,,/business/company/founders,
P140,5017,religion,4017,religion,3017,religion,2017,religion,1017,,18,,/people/person/religion,
,5018,,4018,major_shareholder_of,3018,,2018,,1018,,19,,/business/company_shareholder/major_shareholder_of,major_shareholders
,5019,,4019,major_shareholders,3019,,2019,,1019,,20,,/business/company/major_shareholders,major_shareholder_of
,5020,,4020,advisors,3020,,2020,,1020,,21,,/business/company/advisors,
,5021,,4021,geographic_distribution,3021,,2021,,1021,,22,,/people/ethnicity/geographic_distribution,
,5022,,4022,ethnicity,3022,,2022,,1022,,23,,/people/person/ethnicity,
P172,5023,ethnic group,4023,people,3023,ethnicGroup,2023,,1023,,24,,/people/ethnicity/people,
,5024,,4024,profession,3024,profession,2024,,1024,,25,,/people/person/profession,
P452,5025,industry,4025,industry,3025,,2025,,1025,,26,,/business/company/industry,
,5026,,4026,,3026,floorCount,2026,,1026,,27,,,
P84,5027,architect,4027,,3027,architect,2027,architect,1027,,28,,,
,5028,,4028,,3028,completionDate,2028,,1028,,29,,,
,5029,,4029,,3029,cost,2029,,1029,,30,,,
,5030,,4030,,3030,leaderName,2030,,1030,,31,,,leader
P361,5031,part of,4031,,3031,isPartOf,2031,part of,1031,,32,,,part of
,5032,,4032,,3032,floorArea,2032,,1032,,33,,,
,5033,,4033,,3033,governingBody,2033,,1033,,34,,,
,5034,,4034,,3034,leaderTitle,2034,,1034,,35,,,
P38,5035,currency,4035,,3035,currency,2035,,1035,,36,,,
,5036,,4036,,3036,demonym,2036,,1036,,37,,,
,5037,,4037,,3037,buildingStartDate,2037,,1037,,38,,,
,5038,,4038,,3038,language,2038,,1038,,39,,,languages
,5039,,4039,,3039,height,2039,,1039,,40,,,
,5040,,4040,,3040,buildingType,2040,,1040,,41,,,
,5041,,4041,,3041,owner,2041,,1041,,42,,,
,5042,,4042,,3042,tenant,2042,,1042,,43,,,
,5043,,4043,,3043,keyPerson,2043,,1043,,44,,,
,5044,,4044,,3044,numberOfRooms,2044,,1044,,45,,,
,5045,,4045,,3045,significantBuilding,2045,,1045,,46,,,
,5046,,4046,,3046,architecturalStyle,2046,,1046,,47,,,
,5047,,4047,,3047,address,2047,,1047,,48,,,
,5048,,4048,,3048,currentTenants,2048,,1048,,49,,,
,5049,,4049,,3049,state,2049,,1049,,50,,,
,5050,,4050,,3050,region,2050,,1050,,51,,,
,5051,,4051,,3051,bedCount,2051,,1051,,52,,,
,5052,,4052,,3052,website,2052,,1052,,53,,,
,5053,,4053,,3053,significantProject,2053,,1053,,54,,,
,5054,,4054,,3054,added_to_the_National_Register_of_Historic_Places,2054,,1054,,55,,,
,5055,,4055,,3055,ReferenceNumber_in_the_National_Register_of_Historic_Places,2055,,1055,,56,,,
,5056,,4056,,3056,yearOfConstruction,2056,,1056,,57,,,
,5057,,4057,,3057,postalCode,2057,,1057,,58,,,
,5058,,4058,,3058,hometown,2058,,1058,,59,,,
,5059,,4059,,3059,mainIngredients,2059,,1059,,60,,,
,5060,,4060,,3060,alternativeName,2060,,1060,,61,,,alternativeNames
,5061,,4061,,3061,ingredient,2061,,1061,,62,,,
P53,5062,family,4062,,3062,family,2062,,1062,,63,,,
,5063,,4063,,3063,division,2063,,1063,,64,,,
,5064,,4064,,3064,order,2064,,1064,,65,,,
,5065,,4065,,3065,course,2065,,1065,,66,,,
,5066,,4066,,3066,genus,2066,,1066,,67,,,
,5067,,4067,,3067,dishVariation,2067,,1067,,68,,,
,5068,,4068,,3068,servingTemperature,2068,,1068,,69,,,
P170,5069,creator,4069,,3069,creator,2069,,1069,,70,,,
,5070,,4070,,3070,served,2070,,1070,,71,,,
,5071,,4071,,3071,administrativeCounty,2071,,1071,,72,,,
,5072,,4072,,3072,protein,2072,,1072,,73,,,
,5073,,4073,,3073,servingSize,2073,,1073,,74,,,
,5074,,4074,,3074,year,2074,,1074,,75,,,
,5075,,4075,,3075,fat,2075,,1075,,76,,,
,5076,,4076,,3076,carbohydrate,2076,,1076,,77,,,
,5077,,4077,,3077,officialLanguage,2077,,1077,,78,,,
P106,5078,occupation,4078,,3078,occupation,2078,occupation,1078,,79,,,
,5079,,4079,,3079,timeInSpace,2079,,1079,,80,,,
,5080,,4080,,3080,was_selected_by_NASA,2080,,1080,,81,,,
,5081,,4081,,3081,was_a_crew_member_of,2081,,1081,,82,,,
,5082,,4082,,3082,status,2082,,1082,,83,,,
P137,5083,,4083,,3083,operator,2083,operator,1083,,84,,,
,5084,,4084,,3084,commander,2084,,1084,,85,,,
P570,5085,date of death,4085,,3085,deathDate,2085,,1085,,86,,,dateOfDeath
,5086,,4086,,3086,dateOfRetirement,2086,,1086,,87,,,
